GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Santorini,default,App,85,0,2,0,23,0,4,0,3,0
Santorini,GameSystem,GameLogic,11,356,5,55,5,74,6,42,1,17
Santorini,GameSystem,Game,0,121,1,9,0,31,1,13,0,9
Santorini,Player,Player,0,94,0,10,0,23,0,14,0,9
Santorini,Player,Worker,0,29,0,2,0,11,0,7,0,6
Santorini,GameBoard,Board,0,101,0,12,0,24,0,12,0,6
Santorini,GameBoard,Tile,0,50,0,2,0,17,0,9,0,8
Santorini,God,AbstractGod,58,220,19,27,15,42,21,15,2,11
Santorini,God.Cards,Minotaur,94,244,30,38,17,52,22,21,2,7
Santorini,God.Cards,Athena,29,109,9,15,9,24,7,11,1,5
Santorini,God.Cards,Demeter,31,131,11,17,10,33,9,13,1,7
Santorini,God.Cards,Pan,31,117,9,13,10,27,6,11,0,6
Santorini,Testing,SetupTest,0,69,0,0,0,9,0,2,0,2
Santorini,Testing,GodSetupTest,0,99,0,0,0,12,0,2,0,2
